time, CrutchReadings_1, CrutchReadings_2, CrutchReadings_3, CrutchReadings_4, CrutchReadings_5, CrutchReadings_6, CrutchReadings_7, CrutchReadings_8, CrutchReadings_9, CrutchReadings_10, CrutchReadings_11, CrutchReadings_12, MotorPositions_1, MotorPositions_2, MotorPositions_3, MotorPositions_4, MotorVelocities_1, MotorVelocities_2, MotorVelocities_3, MotorVelocities_4, MotorTorques_1, MotorTorques_2, MotorTorques_3, MotorTorques_4, GoButton, Intent, ExpID
77.511265,-1.6453,-1.8194,-28.7991,0.10516,-0.108532,-0.0413,-14.3794,0.4778,-79.0213,-0.553258,0.041007,-0.002,59385.0,34351.0,-10857.0,14803.0,436.0,0.0,0.0,0.0,-21.0,-1122.0,104.0,-207.0,0.0,walkFL~fwd,10
77.521329,-1.5653,-1.2394,-29.5391,0.11016,-0.111532,-0.0263,1.1606,-9.3622,-50.2213,-0.907258,-0.539993,0.11,59386.0,34351.0,-10857.0,14803.0,699.0,0.0,0.0,0.0,-32.0,-1119.0,107.0,-211.0,0.0,walkFL~fwd,10
77.531388,-1.7053,-2.2394,-30.8591,0.12116,-0.117032,-0.0328,-6.3794,-2.4022,-41.6013,-0.382258,-0.046493,0.0465,59386.0,34351.0,-10857.0,14803.0,516.0,0.0,0.0,0.0,-61.0,-1122.0,107.0,-211.0,0.0,walkFL~fwd,10
77.541451,-1.0653,-1.9994,-31.8791,0.12066,-0.153532,-0.0303,-5.5194,1.4978,-21.3213,-0.043258,0.171507,0.0095,59387.0,34351.0,-10857.0,14802.0,161.0,0.0,0.0,-297.0,-43.0,-1119.0,107.0,-204.0,0.0,walkFL~fwd,10
77.551514,-1.5253,-1.5794,-33.7591,0.14466,-0.160532,-0.0403,0.6406,-0.0222,-7.2413,-0.015258,-0.134493,-0.0075,59388.0,34351.0,-10857.0,14801.0,297.0,0.0,0.0,-3270.0,-61.0,-1119.0,111.0,-179.0,0.0,walkFL~fwd,10
77.56156,-1.0453,-1.9794,-35.2791,0.13816,-0.189032,-0.0318,-0.5794,0.7578,-9.3813,0.040242,-0.081493,-0.0305,59389.0,34351.0,-10857.0,14802.0,707.0,1827.0,0.0,1260.0,-68.0,-1115.0,107.0,-204.0,0.0,walkFL~fwd,10
77.571718,-1.6453,-1.9594,-37.5791,0.15466,-0.195532,-0.0218,-3.5394,0.9378,-20.7613,-0.021258,0.085507,-0.004,59389.0,34350.0,-10857.0,14801.0,0.0,1443.0,0.0,-44.0,-64.0,-1115.0,111.0,-197.0,0.0,walkFL~fwd,10
77.58177,-1.8453,-2.3794,-39.3191,0.17316,-0.210532,-0.0103,-3.0994,-1.8422,-29.3213,-0.312258,-0.089993,0.029,59388.0,34349.0,-10857.0,14801.0,-3193.0,-1044.0,0.0,0.0,-32.0,-1104.0,111.0,-200.0,0.0,walkFL~fwd,10
77.591828,-1.8253,-2.4794,-40.1791,0.16966,-0.206032,-0.0253,-2.9794,-2.9022,-36.7813,-0.395758,-0.222993,0.0355,59387.0,34349.0,-10857.0,14801.0,-3234.0,-1523.0,0.0,0.0,-11.0,-1104.0,114.0,-197.0,0.0,walkFL~fwd,10
77.60188,-1.8653,-1.8994,-40.6191,0.17166,-0.199532,-0.0068,-3.1794,-0.2622,-37.8613,-0.223258,-0.158993,-0.0005,59386.0,34349.0,-10857.0,14802.0,-3384.0,0.0,0.0,223.0,-36.0,-1101.0,114.0,-207.0,0.0,walkFL~fwd,10
77.611931,-1.6853,-2.9394,-39.9391,0.15716,-0.188032,-0.0303,-3.2994,-1.0622,-30.5213,-0.200758,-0.086993,0.002,59385.0,34349.0,-10857.0,14803.0,-1849.0,0.0,0.0,2014.0,-75.0,-1101.0,118.0,-254.0,0.0,walkFL~fwd,10
77.621985,-1.5453,-2.6194,-39.4391,0.16966,-0.178532,-0.0183,-3.4594,-1.1022,-30.7013,-0.223758,-0.071493,-0.0135,59383.0,34349.0,-10857.0,14803.0,-2190.0,0.0,0.0,0.0,-39.0,-1097.0,111.0,-211.0,0.0,walkFL~fwd,10
77.632042,-1.8253,-2.2994,-38.8791,0.15666,-0.187032,-0.0293,-3.5194,-1.0422,-37.6813,-0.245758,-0.141493,-0.012,59382.0,34349.0,-10857.0,14803.0,-1333.0,0.0,0.0,0.0,-64.0,-1097.0,114.0,-207.0,0.0,walkFL~fwd,10
77.642095,-1.6653,-1.5594,-39.2591,0.16516,-0.221532,-0.0178,-4.3594,-1.1622,-44.4813,-0.325758,-0.197493,-0.009,59380.0,34349.0,-10857.0,14803.0,-1970.0,0.0,0.0,0.0,-11.0,-1097.0,118.0,-211.0,0.0,walkFL~fwd,10
77.652153,-1.6853,-2.7394,-40.5791,0.16566,-0.214532,-0.0233,-3.8794,-2.0422,-51.0813,-0.420258,-0.199993,0.002,59379.0,34349.0,-10857.0,14803.0,-1003.0,0.0,0.0,0.0,-54.0,-1094.0,122.0,-207.0,0.0,walkFL~fwd,10
77.66221,-0.7053,-1.1394,-41.1191,0.18366,-0.235532,-0.0068,-4.2394,-1.5622,-53.3213,-0.415758,-0.223993,-0.006,59377.0,34349.0,-10857.0,14803.0,-1696.0,-1425.0,0.0,0.0,7.0,-1044.0,122.0,-207.0,0.0,walkFL~fwd,10
77.672273,-1.0853,-1.5194,-41.8391,0.18316,-0.256532,-0.0083,-3.4594,-1.3622,-55.1813,-0.363758,-0.285993,-0.031,59377.0,34350.0,-10857.0,14803.0,0.0,0.0,0.0,0.0,-43.0,-1097.0,122.0,-211.0,0.0,walkFL~fwd,10
77.682327,-0.8853,-2.3994,-43.1791,0.18966,-0.268532,-0.0023,-3.5594,-0.3022,-56.7813,-0.350258,-0.332993,-0.0115,59375.0,34350.0,-10857.0,14803.0,-934.0,0.0,0.0,0.0,-36.0,-1094.0,122.0,-211.0,0.0,walkFL~fwd,10
77.692381,-1.1253,-1.7194,-43.3191,0.19666,-0.268532,-0.0198,-3.7194,-0.0022,-59.3613,-0.380758,-0.345993,-0.006,59374.0,34350.0,-10857.0,14803.0,-582.0,0.0,0.0,0.0,-25.0,-1097.0,122.0,-214.0,0.0,walkFL~fwd,10
77.702438,-1.0653,-2.4394,-43.2991,0.19366,-0.270032,-0.0273,-3.4794,0.2778,-61.6013,-0.375258,-0.354993,-0.0175,59372.0,34350.0,-10857.0,14803.0,-1238.0,0.0,0.0,0.0,18.0,-1094.0,125.0,-211.0,0.0,walkFL~fwd,10
77.712489,-1.4053,-1.6794,-43.6791,0.18716,-0.280532,-0.0088,-3.2994,0.1978,-63.3013,-0.387258,-0.369493,0.017,59371.0,34350.0,-10857.0,14803.0,-2388.0,0.0,0.0,0.0,36.0,-1094.0,125.0,-211.0,0.0,walkFL~fwd,10
77.722548,-1.3453,-2.2194,-43.5591,0.19916,-0.268032,-0.0123,-3.2394,-0.2022,-64.4413,-0.428758,-0.384993,0.034,59370.0,34350.0,-10857.0,14803.0,-1150.0,0.0,0.0,0.0,39.0,-1086.0,125.0,-211.0,0.0,walkFL~fwd,10
77.732602,-1.6253,-1.7994,-43.8991,0.20666,-0.274532,0.0162,-2.9194,-0.4622,-65.7813,-0.461258,-0.380993,0.0355,59369.0,34350.0,-10856.0,14803.0,-1956.0,0.0,1571.0,0.0,36.0,-1090.0,122.0,-211.0,0.0,walkFL~fwd,10
77.742657,-1.2453,-1.5794,-44.1991,0.19816,-0.264032,0.0057,-3.7394,-0.5422,-67.2813,-0.477758,-0.369993,0.049,59369.0,34350.0,-10856.0,14803.0,-1150.0,0.0,0.0,0.0,46.0,-1090.0,122.0,-211.0,0.0,walkFL~fwd,10
77.75271,-1.7453,-2.1994,-44.0591,0.18166,-0.273032,0.0072,-3.5794,-1.3822,-68.3413,-0.523258,-0.373993,0.058,59369.0,34350.0,-10855.0,14803.0,509.0,0.0,626.0,0.0,46.0,-1086.0,93.0,-211.0,0.0,walkFL~fwd,10
77.762765,-1.4653,-2.1194,-44.7191,0.18466,-0.263032,0.0097,-3.9194,-0.9822,-69.2013,-0.532757,-0.369493,0.058,59369.0,34350.0,-10855.0,14803.0,385.0,0.0,0.0,0.0,-14.0,-1086.0,118.0,-214.0,0.0,walkFL~fwd,10
77.772819,-1.4453,-1.9994,-44.3591,0.18716,-0.257032,-0.0013,-4.1994,-0.7422,-69.0613,-0.522758,-0.379993,0.0525,59369.0,34350.0,-10855.0,14803.0,0.0,0.0,0.0,0.0,-4.0,-1086.0,114.0,-214.0,0.0,walkFL~fwd,10
77.782876,-1.1453,-1.8394,-43.7191,0.16116,-0.262532,0.0002,-4.4394,-0.9622,-68.1213,-0.507258,-0.371993,0.041,59369.0,34350.0,-10855.0,14803.0,0.0,630.0,0.0,0.0,-4.0,-1054.0,122.0,-214.0,0.0,walkFL~fwd,10
77.792931,-1.4653,-1.9394,-44.1191,0.17316,-0.267032,0.0042,-3.9394,-0.4022,-69.6413,-0.493758,-0.378993,0.0235,59369.0,34351.0,-10855.0,14803.0,0.0,828.0,-1447.0,0.0,-7.0,-1086.0,175.0,-211.0,0.0,walkFL~fwd,10
77.803008,-1.2453,-1.6394,-43.9391,0.17666,-0.272532,0.0052,-4.3394,-1.0622,-71.3213,-0.498758,-0.390993,0.0175,59369.0,34351.0,-10854.0,14803.0,0.0,0.0,670.0,0.0,-4.0,-1090.0,114.0,-214.0,0.0,walkFL~fwd,10
77.813076,-1.3453,-1.8994,-43.4391,0.18616,-0.275032,-0.0013,-4.2794,-0.3022,-74.5213,-0.541758,-0.406993,0.0235,59369.0,34351.0,-10854.0,14803.0,0.0,0.0,0.0,0.0,0.0,-1086.0,114.0,-214.0,0.0,walkFL~fwd,10
77.823142,-0.7453,-1.5594,-42.8191,0.16966,-0.271532,-0.0148,-4.2394,-0.8222,-77.4213,-0.548758,-0.411493,-0.0155,59369.0,34351.0,-10854.0,14803.0,0.0,0.0,0.0,0.0,-4.0,-1083.0,118.0,-214.0,0.0,walkFL~fwd,10
77.833249,-1.0453,-2.0194,-43.5191,0.17916,-0.270032,0.0037,-4.7394,-1.3222,-78.5013,-0.562758,-0.424993,-0.0195,59369.0,34351.0,-10854.0,14803.0,0.0,0.0,0.0,0.0,-4.0,-1086.0,114.0,-211.0,0.0,walkFL~fwd,10
