time, CrutchReadings_1, CrutchReadings_2, CrutchReadings_3, CrutchReadings_4, CrutchReadings_5, CrutchReadings_6, CrutchReadings_7, CrutchReadings_8, CrutchReadings_9, CrutchReadings_10, CrutchReadings_11, CrutchReadings_12, MotorPositions_1, MotorPositions_2, MotorPositions_3, MotorPositions_4, MotorVelocities_1, MotorVelocities_2, MotorVelocities_3, MotorVelocities_4, MotorTorques_1, MotorTorques_2, MotorTorques_3, MotorTorques_4, GoButton, Intent, ExpID
47.974434,3.9968,-4.4934,-130.1404,0.965633,0.102925,-0.10877,0.6911,-0.8887,-227.3526,0.114955,-1.77829,-0.12955,59392.0,34278.0,-10861.0,14799.0,-626.0,0.0,-1545.0,0.0,222.0,-597.0,68.0,-46.0,0.0,walkFL~stand,100
47.984486,4.5168,-4.3734,-133.6604,0.958632,0.131925,-0.12077,-0.1489,-0.6087,-226.9126,0.141455,-1.75829,-0.12955,59391.0,34279.0,-10861.0,14800.0,-154.0,59.0,0.0,1263.0,211.0,-583.0,11.0,-50.0,0.0,walkFL~stand,100
47.994548,4.7168,-4.5334,-137.1804,0.981133,0.125425,-0.13577,0.1311,0.3513,-226.4926,0.144955,-1.73579,-0.13105,59389.0,34280.0,-10861.0,14800.0,-1901.0,161.0,0.0,1381.0,257.0,-572.0,11.0,-93.0,0.0,walkFL~stand,100
48.004602,5.2968,-4.7134,-140.1204,0.987633,0.124425,-0.14527,0.2711,0.1113,-227.7326,0.168455,-1.74929,-0.13505,59388.0,34281.0,-10862.0,14800.0,-2040.0,161.0,-161.0,0.0,229.0,-557.0,18.0,-50.0,0.0,walkFL~stand,100
48.014663,5.1568,-4.5934,-141.5004,0.982633,0.130925,-0.15427,0.2711,-0.0487,-228.0926,0.180455,-1.74629,-0.12355,59387.0,34283.0,-10862.0,14800.0,-1915.0,326.0,0.0,0.0,225.0,-568.0,18.0,-50.0,0.0,walkFL~stand,100
48.024725,5.6368,-4.7934,-142.1204,0.981133,0.130425,-0.13427,-0.0489,0.2313,-225.8726,0.183955,-1.71629,-0.13705,59386.0,34284.0,-10862.0,14800.0,-1545.0,1150.0,0.0,0.0,289.0,-590.0,21.0,-46.0,0.0,walkFL~stand,100
48.034796,5.0768,-5.0934,-142.4804,0.992633,0.129425,-0.11627,0.2711,0.0913,-222.0926,0.180455,-1.68129,-0.11055,59386.0,34285.0,-10863.0,14800.0,-1058.0,1758.0,-582.0,0.0,247.0,-586.0,29.0,-46.0,0.0,walkFL~stand,100
48.04488,5.2968,-4.7534,-143.3604,1.015132,0.155425,-0.12527,-0.7689,-0.1687,-218.2726,0.182955,-1.63179,-0.11255,59386.0,34286.0,-10863.0,14800.0,0.0,165.0,0.0,0.0,218.0,-515.0,29.0,-50.0,0.0,walkFL~stand,100
48.055006,5.1768,-4.4134,-144.4604,1.021132,0.149925,-0.11477,-0.9489,0.0513,-213.9126,0.169955,-1.60779,-0.10055,59385.0,34286.0,-10864.0,14802.0,-465.0,0.0,-828.0,992.0,275.0,-497.0,36.0,-57.0,0.0,walkFL~stand,100
48.065053,4.9568,-4.0134,-146.0604,1.036133,0.154925,-0.09927,-1.2489,-0.5287,-210.9726,0.164955,-1.56829,-0.11405,59385.0,34287.0,-10864.0,14804.0,-674.0,161.0,0.0,3538.0,247.0,-486.0,36.0,-86.0,0.0,walkFL~stand,100
48.075098,5.0768,-3.8534,-148.4204,1.060133,0.166425,-0.08827,-1.8889,-0.5287,-210.4126,0.170955,-1.55879,-0.10455,59385.0,34288.0,-10865.0,14805.0,0.0,1113.0,-1263.0,809.0,225.0,-472.0,43.0,-75.0,0.0,walkFL~stand,100
48.085157,5.1368,-4.5534,-149.7404,1.068133,0.181425,-0.09227,-1.4289,-0.5687,-207.4526,0.143955,-1.55079,-0.09705,59385.0,34289.0,-10865.0,14807.0,553.0,2139.0,0.0,2095.0,164.0,-472.0,46.0,-129.0,0.0,walkFL~stand,100
48.095218,5.3568,-4.7934,-150.7604,1.071633,0.168425,-0.10727,-1.0489,0.3713,-204.7526,0.162455,-1.52179,-0.07755,59384.0,34290.0,-10865.0,14808.0,-604.0,1150.0,0.0,165.0,229.0,-500.0,46.0,-100.0,0.0,walkFL~stand,100
48.105281,5.6968,-4.5134,-151.7204,1.069133,0.173425,-0.11527,-1.9889,-0.5487,-201.7326,0.154455,-1.50979,-0.07555,59383.0,34291.0,-10866.0,14808.0,-2120.0,165.0,-59.0,0.0,264.0,-454.0,57.0,-96.0,0.0,walkFL~stand,100
48.115351,5.4968,-5.1934,-153.5804,1.065133,0.190925,-0.14777,-1.5089,-0.1487,-201.3726,0.175955,-1.51379,-0.07505,59383.0,34291.0,-10866.0,14808.0,0.0,165.0,0.0,0.0,232.0,-436.0,61.0,-96.0,0.0,walkFL~stand,100
48.125409,6.0168,-5.1934,-155.8404,1.083133,0.209925,-0.14027,-1.6289,0.3713,-201.9326,0.179455,-1.51129,-0.05205,59382.0,34293.0,-10866.0,14808.0,-1545.0,2069.0,0.0,0.0,300.0,-457.0,61.0,-100.0,0.0,walkFL~stand,100
48.135468,6.2368,-5.0334,-156.3004,1.068133,0.216925,-0.15677,-1.7089,0.9113,-202.1526,0.187955,-1.51479,-0.06155,59382.0,34294.0,-10866.0,14808.0,0.0,1893.0,0.0,0.0,236.0,-418.0,61.0,-104.0,0.0,walkFL~stand,100
48.14553,6.3568,-5.0734,-157.7804,1.083632,0.209425,-0.17177,-1.6689,1.0913,-202.3926,0.183955,-1.52429,-0.04605,59381.0,34295.0,-10866.0,14808.0,-1860.0,201.0,0.0,0.0,239.0,-407.0,64.0,-104.0,0.0,walkFL~stand,100
48.155592,6.5568,-4.8534,-157.7404,1.081632,0.219425,-0.15627,-1.5489,1.1313,-201.2726,0.180955,-1.51079,-0.01905,59381.0,34297.0,-10866.0,14808.0,0.0,1414.0,0.0,0.0,279.0,-400.0,68.0,-104.0,0.0,walkFL~stand,100
48.165656,6.6968,-4.4334,-158.0604,1.084633,0.224925,-0.17027,-1.4289,0.8913,-200.0126,0.164955,-1.49979,-0.00955,59381.0,34299.0,-10865.0,14808.0,1154.0,1593.0,1417.0,0.0,229.0,-436.0,68.0,-107.0,0.0,walkFL~stand,100
48.175716,7.2768,-4.4334,-158.0004,1.103133,0.210425,-0.14377,-1.2089,1.5113,-198.9526,0.160455,-1.50679,0.00245,59381.0,34300.0,-10865.0,14807.0,220.0,165.0,1890.0,-381.0,182.0,-397.0,36.0,-100.0,0.0,walkFL~stand,100
