time, CrutchReadings_1, CrutchReadings_2, CrutchReadings_3, CrutchReadings_4, CrutchReadings_5, CrutchReadings_6, CrutchReadings_7, CrutchReadings_8, CrutchReadings_9, CrutchReadings_10, CrutchReadings_11, CrutchReadings_12, MotorPositions_1, MotorPositions_2, MotorPositions_3, MotorPositions_4, MotorVelocities_1, MotorVelocities_2, MotorVelocities_3, MotorVelocities_4, MotorTorques_1, MotorTorques_2, MotorTorques_3, MotorTorques_4, GoButton, Intent, ExpID
33.399168,16.0182,-1.3688,-264.5136,1.501228,0.309603,-0.337538,-2.5288,2.5853,-134.3104,-0.296458,-1.057438,-0.057752,-11015.0,4819.0,43705.0,4796.0,-194.0,-2120.0,0.0,1545.0,-125.0,57.0,468.0,-608.0,0.0,walkFR~stand,140
33.409221,14.9982,-1.8688,-257.7536,1.489228,0.297103,-0.337038,-2.7888,2.3253,-131.1904,-0.300458,-1.034438,-0.049752,-11014.0,4819.0,43705.0,4796.0,2076.0,0.0,0.0,0.0,-114.0,14.0,468.0,-543.0,0.0,walkFR~stand,140
33.419279,15.6782,-1.2888,-250.5936,1.469228,0.289603,-0.319038,-3.3288,2.0653,-128.6904,-0.293958,-1.003938,-0.072752,-11014.0,4819.0,43705.0,4797.0,1241.0,0.0,0.0,1981.0,-104.0,14.0,465.0,-550.0,0.0,walkFR~stand,140
33.429332,15.1382,-1.5888,-243.9136,1.458728,0.296103,-0.315538,-3.2288,2.2853,-127.3304,-0.269458,-1.004938,-0.074752,-11014.0,4818.0,43705.0,4797.0,-293.0,-2157.0,0.0,0.0,-75.0,46.0,465.0,-540.0,0.0,walkFR~stand,140
33.439396,14.4382,-1.4088,-237.6736,1.430728,0.310103,-0.286538,-2.4888,2.2253,-124.2304,-0.271958,-0.976938,-0.038252,-11013.0,4818.0,43705.0,4798.0,154.0,0.0,0.0,1113.0,-111.0,18.0,465.0,-536.0,0.0,walkFR~stand,140
33.449448,13.7182,-1.9088,-229.6736,1.418228,0.318103,-0.275038,-2.5688,3.0653,-120.5104,-0.269958,-0.957438,-0.014752,-11013.0,4817.0,43705.0,4798.0,0.0,-626.0,0.0,0.0,-114.0,50.0,465.0,-536.0,0.0,walkFR~stand,140
33.459505,13.1382,-2.0288,-222.4736,1.398728,0.325103,-0.259538,-2.4688,2.4053,-117.1704,-0.263958,-0.941938,-0.007252,-11012.0,4816.0,43705.0,4799.0,406.0,-165.0,0.0,967.0,-172.0,32.0,461.0,-536.0,0.0,walkFR~stand,140
33.469553,12.3982,-1.6688,-215.2936,1.374228,0.307103,-0.224038,-2.8088,2.7053,-113.7904,-0.267958,-0.922438,-0.008752,-11012.0,4816.0,43705.0,4799.0,0.0,0.0,0.0,1450.0,-111.0,32.0,457.0,-529.0,0.0,walkFR~stand,140
33.479645,12.1382,-1.3888,-210.2736,1.372228,0.307103,-0.212038,-2.9888,2.1853,-110.9304,-0.259458,-0.879438,0.006748,-11011.0,4815.0,43705.0,4799.0,1696.0,-828.0,0.0,0.0,-111.0,39.0,461.0,-525.0,0.0,walkFR~stand,140
33.489708,12.2182,-0.4088,-204.3336,1.376728,0.286603,-0.142038,-2.7888,2.7653,-108.9904,-0.245958,-0.868438,0.008748,-11011.0,4814.0,43705.0,4800.0,809.0,-70.0,0.0,2157.0,-114.0,43.0,461.0,-554.0,0.0,walkFR~stand,140
33.499779,11.1182,-1.5288,-197.8336,1.370728,0.290103,-0.175038,-3.1288,2.6053,-106.9904,-0.251958,-0.849938,-0.010252,-11010.0,4813.0,43705.0,4800.0,1150.0,-1417.0,0.0,1538.0,-164.0,43.0,461.0,-565.0,0.0,walkFR~stand,140
33.509833,10.7382,-1.0288,-191.6336,1.339228,0.285603,-0.114538,-3.0088,2.1653,-105.1304,-0.248958,-0.835938,-0.006252,-11010.0,4812.0,43705.0,4800.0,0.0,-1981.0,0.0,0.0,-122.0,57.0,457.0,-518.0,0.0,walkFR~stand,140
33.519896,10.0382,-1.4288,-186.0936,1.335728,0.290603,-0.117538,-3.0088,2.4453,-104.1704,-0.237458,-0.812938,-0.004752,-11009.0,4812.0,43705.0,4801.0,297.0,0.0,0.0,626.0,-125.0,50.0,457.0,-543.0,0.0,walkFR~stand,140
33.529948,8.6182,-1.0288,-180.8336,1.307228,0.292103,-0.111038,-2.7288,1.8253,-103.3904,-0.246958,-0.815938,-0.014252,-11008.0,4811.0,43705.0,4801.0,103.0,-699.0,0.0,626.0,-132.0,57.0,457.0,-543.0,0.0,walkFR~stand,140
33.540007,9.6182,-1.1088,-177.2336,1.305728,0.285603,-0.108538,-2.5888,2.0253,-103.6304,-0.236458,-0.810938,-0.002752,-11006.0,4811.0,43705.0,4801.0,3362.0,0.0,0.0,0.0,-168.0,64.0,454.0,-515.0,0.0,walkFR~stand,140
33.550061,9.3982,-1.4688,-173.4936,1.264728,0.300103,-0.118038,-2.6888,1.9453,-104.0104,-0.239458,-0.828438,-0.004752,-11006.0,4811.0,43705.0,4801.0,2025.0,1069.0,0.0,0.0,-172.0,4.0,457.0,-507.0,0.0,walkFR~stand,140
33.560119,9.6582,-0.7488,-170.1136,1.265228,0.289603,-0.102538,-2.9488,2.6253,-103.8504,-0.228458,-0.832438,-0.004252,-11005.0,4810.0,43705.0,4801.0,1154.0,-776.0,0.0,-1450.0,-168.0,75.0,457.0,-507.0,0.0,walkFR~stand,140
33.570167,9.0782,-1.1488,-168.7536,1.247228,0.274603,-0.111538,-2.8288,2.2853,-103.2104,-0.226958,-0.808438,0.003248,-11005.0,4810.0,43705.0,4802.0,1388.0,0.0,0.0,11.0,-179.0,71.0,450.0,-507.0,0.0,walkFR~stand,140
