time, CrutchReadings_1, CrutchReadings_2, CrutchReadings_3, CrutchReadings_4, CrutchReadings_5, CrutchReadings_6, CrutchReadings_7, CrutchReadings_8, CrutchReadings_9, CrutchReadings_10, CrutchReadings_11, CrutchReadings_12, MotorPositions_1, MotorPositions_2, MotorPositions_3, MotorPositions_4, MotorVelocities_1, MotorVelocities_2, MotorVelocities_3, MotorVelocities_4, MotorTorques_1, MotorTorques_2, MotorTorques_3, MotorTorques_4, GoButton, Intent, ExpID
32.483413,5.8982,0.3712,-63.1536,0.563728,0.159103,-0.080038,-2.4088,0.0453,-65.5904,0.229542,-0.477938,0.057248,-11007.0,4816.0,43698.0,4818.0,0.0,0.0,-1981.0,0.0,-175.0,0.0,575.0,-1154.0,0.0,walkFR~stand,140
32.523629,1.6582,1.8512,-1.5336,0.048728,-0.034897,0.010462,-0.1488,-0.0547,-20.5704,0.128042,-0.190938,-0.011752,-11008.0,4817.0,43696.0,4819.0,-458.0,0.0,0.0,278.0,-172.0,-11.0,590.0,-1161.0,0.0,walkFR~stand,140
32.563863,1.3782,1.0112,-0.0136,0.015228,-0.013897,0.004462,1.1912,0.2053,0.3496,0.002542,-0.027938,-0.016752,-11008.0,4819.0,43696.0,4819.0,1699.0,161.0,0.0,0.0,-225.0,-25.0,597.0,-1165.0,0.0,walkFR~stand,140
32.60414,1.2582,1.2512,-0.8936,0.030228,-0.023397,0.005962,1.2712,-0.2347,-0.6104,-0.007958,-0.019438,0.002248,-11008.0,4818.0,43698.0,4819.0,813.0,0.0,297.0,0.0,-211.0,-21.0,590.0,-1169.0,0.0,walkFR~stand,140
32.644451,0.7982,0.5112,-1.3936,0.011728,-0.006397,-3.8e-05,0.9912,0.4453,-1.2104,0.007542,-0.002938,-0.012752,-11008.0,4818.0,43698.0,4818.0,0.0,0.0,0.0,0.0,-179.0,-21.0,597.0,-1165.0,0.0,walkFR~stand,140
32.68471,0.5782,0.3712,-1.5936,0.003728,-0.005397,-0.006538,0.5512,0.4053,-0.9704,0.001042,0.006562,0.012248,-11008.0,4817.0,43698.0,4817.0,-531.0,-582.0,0.0,0.0,-229.0,-21.0,597.0,-1158.0,0.0,walkFR~stand,140
32.724925,-0.8218,-0.8888,-1.6336,-0.023272,0.025603,0.003962,-0.1288,-0.1347,-1.7504,-0.001458,0.023062,-0.003252,-11009.0,4816.0,43699.0,4816.0,-132.0,0.0,0.0,0.0,-172.0,-14.0,597.0,-1158.0,0.0,walkFR~stand,140
32.765155,-0.5618,-0.9688,-0.8536,-0.023772,0.022603,-0.027038,-0.8488,0.2653,-0.3104,0.001542,0.039062,-0.002752,-11010.0,4815.0,43700.0,4814.0,0.0,0.0,0.0,-1827.0,-164.0,-11.0,593.0,-1090.0,0.0,walkFR~stand,140
32.805404,4.6382,-8.7688,-60.2336,-0.601772,-1.099397,-0.077038,-5.2888,-7.5347,-99.2304,-0.426958,-0.732938,0.061748,-11007.0,4811.0,43704.0,4812.0,220.0,-1223.0,1761.0,-1827.0,-182.0,14.0,511.0,-1072.0,0.0,walkFR~stand,140
32.845639,7.8582,-5.1688,-113.5736,0.731228,-0.201397,-0.226038,-4.0488,2.7253,-58.5304,0.219042,-0.369438,-0.033252,-11000.0,4798.0,43710.0,4808.0,1168.0,-3611.0,1666.0,-1516.0,-225.0,143.0,536.0,-1101.0,0.0,walkFR~stand,140
32.885871,5.8782,-7.4688,-165.1736,1.099228,0.258103,-0.372538,-3.6888,-0.1147,-113.0304,-0.264458,-0.881438,0.092248,-10999.0,4796.0,43712.0,4800.0,-2014.0,315.0,0.0,-3567.0,-193.0,132.0,507.0,-1008.0,0.0,walkFR~stand,140
32.926143,6.9782,-6.3488,-210.5336,1.314228,0.246603,-0.271038,-5.9488,0.5453,-133.8304,-0.309958,-0.890438,0.034748,-10999.0,4801.0,43712.0,4784.0,-95.0,2139.0,-1670.0,-3867.0,-254.0,104.0,507.0,-890.0,0.0,walkFR~stand,140
32.966543,9.3582,-3.3888,-241.2936,1.498228,0.202603,-0.226538,-4.7888,1.4853,-153.6704,-0.347458,-1.097938,-0.051752,-11003.0,4804.0,43713.0,4777.0,-249.0,0.0,0.0,-165.0,-236.0,118.0,482.0,-833.0,0.0,walkFR~stand,140
33.006831,11.5182,-1.3488,-270.3536,1.546728,0.239103,-0.243538,-4.3088,1.7653,-157.3904,-0.362958,-1.160938,-0.072752,-11005.0,4805.0,43712.0,4772.0,0.0,0.0,-2076.0,-604.0,-229.0,122.0,479.0,-768.0,0.0,walkFR~stand,140
33.047055,16.5382,2.1112,-296.4536,1.606728,0.196603,-0.220038,-4.4288,2.3453,-161.4504,-0.373958,-1.198938,-0.078752,-11008.0,4808.0,43710.0,4772.0,0.0,1465.0,1249.0,0.0,-211.0,114.0,518.0,-722.0,0.0,walkFR~stand,140
33.087299,21.8582,3.7912,-320.5336,1.649228,0.162103,-0.314538,-3.0288,3.6453,-162.4104,-0.393458,-1.232938,-0.062752,-11009.0,4813.0,43708.0,4775.0,0.0,1827.0,0.0,1860.0,-207.0,32.0,482.0,-693.0,0.0,walkFR~stand,140
33.127508,24.3182,2.3712,-334.2936,1.626228,0.203103,-0.433038,-2.2688,4.1253,-165.7904,-0.410458,-1.261938,-0.011252,-11009.0,4815.0,43707.0,4777.0,1578.0,-165.0,0.0,18.0,-232.0,82.0,482.0,-658.0,0.0,walkFR~stand,140
33.167721,24.5782,1.5712,-335.4136,1.593727,0.221103,-0.465538,-2.5688,4.7453,-164.7904,-0.425958,-1.253938,-0.014752,-11013.0,4816.0,43706.0,4779.0,-2157.0,59.0,-220.0,165.0,-154.0,68.0,479.0,-633.0,0.0,walkFR~stand,140
33.207958,23.0782,1.2112,-326.3936,1.561727,0.264103,-0.433038,-2.8088,3.7653,-158.0304,-0.433958,-1.192438,-0.022752,-11017.0,4820.0,43705.0,4783.0,-2117.0,1890.0,0.0,165.0,-154.0,43.0,482.0,-615.0,0.0,walkFR~stand,140
33.24819,21.3182,2.0712,-312.8336,1.576228,0.274103,-0.333038,-3.0888,3.4053,-155.8904,-0.397958,-1.175938,-0.014752,-11019.0,4823.0,43705.0,4786.0,-879.0,165.0,0.0,2076.0,-122.0,18.0,479.0,-604.0,0.0,walkFR~stand,140
33.288514,21.3182,2.3512,-307.3136,1.566228,0.244603,-0.310538,-3.0288,3.2453,-155.0704,-0.398958,-1.150938,-0.020752,-11021.0,4823.0,43705.0,4789.0,820.0,0.0,0.0,1545.0,-147.0,11.0,479.0,-640.0,0.0,walkFR~stand,140
33.32874,19.4382,0.6112,-295.2336,1.555227,0.269103,-0.332538,-2.3288,3.4253,-151.3504,-0.367958,-1.163938,-0.016252,-11020.0,4822.0,43705.0,4791.0,919.0,0.0,0.0,0.0,-86.0,11.0,472.0,-565.0,0.0,walkFR~stand,140
33.368987,17.0982,-0.5488,-281.4936,1.523227,0.299603,-0.359538,-2.9288,2.7053,-142.0904,-0.324958,-1.116938,-0.061752,-11017.0,4821.0,43705.0,4794.0,575.0,0.0,0.0,967.0,-82.0,11.0,468.0,-554.0,0.0,walkFR~stand,140
33.409221,14.9982,-1.8688,-257.7536,1.489228,0.297103,-0.337038,-2.7888,2.3253,-131.1904,-0.300458,-1.034438,-0.049752,-11014.0,4819.0,43705.0,4796.0,2076.0,0.0,0.0,0.0,-114.0,14.0,468.0,-543.0,0.0,walkFR~stand,140
33.449448,13.7182,-1.9088,-229.6736,1.418228,0.318103,-0.275038,-2.5688,3.0653,-120.5104,-0.269958,-0.957438,-0.014752,-11013.0,4817.0,43705.0,4798.0,0.0,-626.0,0.0,0.0,-114.0,50.0,465.0,-536.0,0.0,walkFR~stand,140
33.489708,12.2182,-0.4088,-204.3336,1.376728,0.286603,-0.142038,-2.7888,2.7653,-108.9904,-0.245958,-0.868438,0.008748,-11011.0,4814.0,43705.0,4800.0,809.0,-70.0,0.0,2157.0,-114.0,43.0,461.0,-554.0,0.0,walkFR~stand,140
33.529948,8.6182,-1.0288,-180.8336,1.307228,0.292103,-0.111038,-2.7288,1.8253,-103.3904,-0.246958,-0.815938,-0.014252,-11008.0,4811.0,43705.0,4801.0,103.0,-699.0,0.0,626.0,-132.0,57.0,457.0,-543.0,0.0,walkFR~stand,140
33.570167,9.0782,-1.1488,-168.7536,1.247228,0.274603,-0.111538,-2.8288,2.2853,-103.2104,-0.226958,-0.808438,0.003248,-11005.0,4810.0,43705.0,4802.0,1388.0,0.0,0.0,11.0,-179.0,71.0,450.0,-507.0,0.0,walkFR~stand,140
33.61047,9.2182,-2.3488,-167.9936,1.226728,0.276603,-0.152038,-1.9688,2.3653,-103.3704,-0.214958,-0.836438,0.006748,-11003.0,4810.0,43705.0,4803.0,1516.0,751.0,0.0,0.0,-204.0,32.0,450.0,-497.0,0.0,walkFR~stand,140
