time, CrutchReadings_1, CrutchReadings_2, CrutchReadings_3, CrutchReadings_4, CrutchReadings_5, CrutchReadings_6, CrutchReadings_7, CrutchReadings_8, CrutchReadings_9, CrutchReadings_10, CrutchReadings_11, CrutchReadings_12, MotorPositions_1, MotorPositions_2, MotorPositions_3, MotorPositions_4, MotorVelocities_1, MotorVelocities_2, MotorVelocities_3, MotorVelocities_4, MotorTorques_1, MotorTorques_2, MotorTorques_3, MotorTorques_4, GoButton, Intent, ExpID
54.927004,11.5368,-3.9934,-168.0004,1.083133,0.599425,-0.22327,-0.9089,0.3313,-125.1526,0.211955,-1.03879,0.02845,16337.0,4815.0,16347.0,4807.0,1132.0,0.0,0.0,223.0,39.0,0.0,143.0,104.0,0.0,stand~fwd,101
54.936968,11.3568,-4.0934,-167.0804,1.074633,0.598425,-0.21327,-0.8289,1.0113,-124.0926,0.207955,-1.02579,0.03645,16337.0,4815.0,16347.0,4807.0,48.0,0.0,0.0,0.0,14.0,4.0,139.0,111.0,0.0,stand~fwd,101
54.947079,10.9568,-4.1534,-166.7204,1.056133,0.599425,-0.24127,-1.1689,0.8513,-122.2926,0.205955,-1.02429,0.03295,16337.0,4815.0,16347.0,4808.0,-70.0,0.0,0.0,2139.0,11.0,0.0,136.0,86.0,0.0,stand~fwd,101
54.957136,11.1168,-4.5534,-168.0204,1.078633,0.598425,-0.20527,-0.8489,0.4713,-120.5326,0.211455,-1.01579,0.02295,16337.0,4815.0,16347.0,4808.0,0.0,0.0,0.0,0.0,46.0,4.0,139.0,114.0,0.0,stand~fwd,101
54.967188,10.7968,-4.5334,-168.7604,1.096633,0.602425,-0.19827,-0.8489,0.6113,-118.4526,0.216455,-0.99429,0.01945,16338.0,4816.0,16347.0,4808.0,165.0,1417.0,0.0,0.0,36.0,0.0,143.0,111.0,0.0,stand~fwd,101
54.977244,11.0568,-3.9534,-169.8404,1.097633,0.603425,-0.21027,-0.9489,0.5313,-116.5726,0.222955,-0.98529,0.02495,16338.0,4816.0,16347.0,4809.0,62.0,1868.0,0.0,582.0,36.0,-50.0,139.0,111.0,0.0,stand~fwd,101
54.987298,11.3768,-3.8934,-170.5604,1.106633,0.595925,-0.19877,-1.1489,0.6513,-114.0726,0.202955,-0.96279,0.00595,16338.0,4816.0,16347.0,4809.0,1318.0,0.0,0.0,0.0,0.0,-4.0,139.0,111.0,0.0,stand~fwd,101
54.997366,10.8968,-4.2534,-170.4604,1.115633,0.602925,-0.19427,-1.0089,1.4113,-111.9326,0.199955,-0.93979,0.02145,16338.0,4816.0,16347.0,4810.0,1198.0,0.0,0.0,1263.0,18.0,-4.0,136.0,104.0,0.0,stand~fwd,101
55.007431,10.7968,-4.0134,-171.7604,1.121633,0.591425,-0.19427,-1.2489,0.5113,-108.9126,0.209955,-0.91079,-5e-05,16338.0,4817.0,16347.0,4810.0,0.0,2120.0,0.0,0.0,25.0,-43.0,139.0,104.0,0.0,stand~fwd,101
55.017485,11.2168,-4.6134,-174.1804,1.122633,0.591425,-0.19427,-1.7889,0.2313,-105.8526,0.196955,-0.89129,-0.00355,16338.0,4816.0,16347.0,4811.0,0.0,-1198.0,0.0,297.0,32.0,-4.0,139.0,100.0,1.0,stand~fwd,101
