time, CrutchReadings_1, CrutchReadings_2, CrutchReadings_3, CrutchReadings_4, CrutchReadings_5, CrutchReadings_6, CrutchReadings_7, CrutchReadings_8, CrutchReadings_9, CrutchReadings_10, CrutchReadings_11, CrutchReadings_12, MotorPositions_1, MotorPositions_2, MotorPositions_3, MotorPositions_4, MotorVelocities_1, MotorVelocities_2, MotorVelocities_3, MotorVelocities_4, MotorTorques_1, MotorTorques_2, MotorTorques_3, MotorTorques_4, GoButton, Intent, ExpID
48.356744,5.6968,-4.4334,-149.1204,1.052133,0.230925,-0.10877,-1.1689,0.5913,-171.2126,0.235955,-1.32279,-0.04155,59382.0,34318.0,-10858.0,14800.0,-443.0,1981.0,1901.0,146.0,236.0,-286.0,43.0,-50.0,0.0,walkFL~stand,100
48.366794,6.1768,-4.4334,-149.3804,1.061633,0.237925,-0.13627,-1.5689,0.2713,-168.8326,0.189455,-1.30779,-0.04905,59381.0,34319.0,-10857.0,14801.0,-608.0,2157.0,626.0,1886.0,264.0,-307.0,39.0,-36.0,0.0,walkFL~stand,100
48.376854,5.9568,-4.1534,-149.9604,1.058633,0.234925,-0.14277,-1.8489,-0.3487,-168.9926,0.211455,-1.28929,-0.03605,59382.0,34320.0,-10858.0,14801.0,300.0,2120.0,0.0,974.0,264.0,-307.0,11.0,-75.0,0.0,walkFL~stand,100
48.387053,6.1968,-4.4534,-149.2404,1.051133,0.248425,-0.15327,-2.0689,0.1113,-167.2326,0.220955,-1.26779,-0.06655,59382.0,34321.0,-10857.0,14800.0,183.0,1754.0,59.0,-2164.0,204.0,-279.0,39.0,-129.0,0.0,walkFL~stand,100
48.396981,5.7368,-4.4534,-146.7604,1.042133,0.238925,-0.14627,-2.5489,0.1513,-165.2926,0.200455,-1.26129,-0.06055,59381.0,34322.0,-10857.0,14801.0,-2157.0,1066.0,0.0,381.0,204.0,-279.0,36.0,-32.0,0.0,walkFL~stand,100
48.407091,5.9768,-4.7134,-144.8204,1.020133,0.232425,-0.15977,-2.2089,0.2913,-163.6726,0.224455,-1.23279,-0.05505,59381.0,34324.0,-10857.0,14801.0,-1545.0,1157.0,0.0,0.0,297.0,-332.0,36.0,-71.0,0.0,walkFL~stand,100
48.417156,5.9768,-4.7934,-143.4204,1.020633,0.231925,-0.15227,-2.5889,0.6913,-162.1126,0.225455,-1.22629,-0.06805,59381.0,34325.0,-10857.0,14801.0,-1611.0,868.0,0.0,0.0,297.0,-332.0,36.0,-75.0,0.0,walkFL~stand,100
48.427214,5.6968,-4.4134,-142.3604,1.012633,0.228925,-0.12777,-2.1289,0.3113,-159.4526,0.223455,-1.23779,-0.04505,59381.0,34327.0,-10857.0,14801.0,-1304.0,2509.0,0.0,-1201.0,232.0,-311.0,32.0,-71.0,0.0,walkFL~stand,100
48.437271,5.9168,-4.4134,-141.0804,0.988133,0.214425,-0.13677,-1.9489,0.4113,-156.2126,0.205955,-1.22029,-0.07405,59381.0,34328.0,-10857.0,14802.0,-1622.0,1326.0,0.0,648.0,229.0,-282.0,36.0,-79.0,0.0,walkFL~stand,100
48.447325,5.7768,-4.3934,-140.2604,1.010633,0.234425,-0.13527,-2.3089,0.2513,-154.3726,0.209955,-1.20229,-0.06455,59381.0,34329.0,-10857.0,14802.0,458.0,0.0,0.0,1677.0,207.0,-289.0,32.0,-79.0,0.0,walkFL~stand,100
