time, CrutchReadings_1, CrutchReadings_2, CrutchReadings_3, CrutchReadings_4, CrutchReadings_5, CrutchReadings_6, CrutchReadings_7, CrutchReadings_8, CrutchReadings_9, CrutchReadings_10, CrutchReadings_11, CrutchReadings_12, MotorPositions_1, MotorPositions_2, MotorPositions_3, MotorPositions_4, MotorVelocities_1, MotorVelocities_2, MotorVelocities_3, MotorVelocities_4, MotorTorques_1, MotorTorques_2, MotorTorques_3, MotorTorques_4, GoButton, Intent, ExpID
33.781621,9.7782,-2.0688,-189.4736,1.321227,0.225603,-0.110538,-2.3088,2.8053,-115.5504,-0.208458,-0.922938,-0.054752,-11006.0,4813.0,43704.0,4809.0,-721.0,0.0,0.0,0.0,-154.0,86.0,440.0,-490.0,0.0,walkFR~stand,140
33.791684,10.2782,-1.7288,-191.4136,1.322228,0.231603,-0.131538,-1.9488,2.4253,-115.5904,-0.202958,-0.933438,-0.060752,-11006.0,4813.0,43704.0,4810.0,-1311.0,0.0,0.0,1545.0,-111.0,79.0,443.0,-547.0,0.0,walkFR~stand,140
33.801738,10.4182,-2.3888,-194.9736,1.345728,0.224603,-0.126038,-1.5288,2.4453,-116.8904,-0.185958,-0.944438,-0.051252,-11006.0,4814.0,43704.0,4810.0,-1564.0,2139.0,0.0,0.0,-161.0,61.0,443.0,-490.0,0.0,walkFR~stand,140
33.811856,10.7782,-2.7088,-199.8536,1.369728,0.219603,-0.145038,-2.1488,2.6653,-117.0904,-0.187958,-0.944938,-0.062752,-11005.0,4813.0,43704.0,4810.0,1417.0,-1190.0,0.0,0.0,-175.0,57.0,443.0,-486.0,0.0,walkFR~stand,140
33.821901,10.5382,-2.5688,-204.0736,1.387728,0.225603,-0.151038,-2.6688,2.5253,-117.5304,-0.181458,-0.945438,-0.051252,-11005.0,4814.0,43704.0,4810.0,1062.0,1194.0,0.0,0.0,-225.0,136.0,440.0,-490.0,0.0,walkFR~stand,140
33.832006,10.6382,-2.4888,-206.6536,1.402228,0.241103,-0.136538,-1.9288,2.5853,-117.9104,-0.188458,-0.935938,-0.047752,-11005.0,4813.0,43704.0,4810.0,37.0,-385.0,0.0,0.0,-189.0,79.0,440.0,-486.0,0.0,walkFR~stand,140
33.842124,10.4582,-2.9488,-208.8736,1.399728,0.229103,-0.146538,-2.0488,2.1853,-117.0504,-0.183958,-0.942438,-0.028252,-11006.0,4813.0,43704.0,4810.0,-674.0,0.0,0.0,0.0,-154.0,86.0,440.0,-486.0,0.0,walkFR~stand,140
33.852242,10.8782,-1.8888,-212.1736,1.420228,0.224103,-0.132538,-1.7288,2.5853,-116.7504,-0.179958,-0.954438,-0.041252,-11006.0,4813.0,43704.0,4810.0,-1659.0,0.0,0.0,0.0,-125.0,82.0,443.0,-482.0,0.0,walkFR~stand,140
33.8623,11.1182,-2.2488,-214.7536,1.430228,0.226103,-0.173538,-1.8888,2.1253,-115.8104,-0.183458,-0.936438,-0.028252,-11006.0,4813.0,43704.0,4810.0,194.0,0.0,0.0,0.0,-136.0,86.0,436.0,-482.0,0.0,walkFR~stand,140
33.872511,11.0382,-1.8688,-218.8136,1.455228,0.216103,-0.134538,-2.1088,1.8653,-116.0304,-0.191458,-0.937938,-0.055252,-11006.0,4813.0,43704.0,4811.0,-1417.0,0.0,0.0,476.0,-125.0,86.0,440.0,-486.0,0.0,walkFR~stand,140
