time, CrutchReadings_1, CrutchReadings_2, CrutchReadings_3, CrutchReadings_4, CrutchReadings_5, CrutchReadings_6, CrutchReadings_7, CrutchReadings_8, CrutchReadings_9, CrutchReadings_10, CrutchReadings_11, CrutchReadings_12, MotorPositions_1, MotorPositions_2, MotorPositions_3, MotorPositions_4, MotorVelocities_1, MotorVelocities_2, MotorVelocities_3, MotorVelocities_4, MotorTorques_1, MotorTorques_2, MotorTorques_3, MotorTorques_4, GoButton, Intent, ExpID
180.495859,12.2308,-1.5165,-123.977,0.244152,0.881975,-0.144985,1.3469,6.8595,-114.3419,-1.04763,-0.109153,-0.101397,306462.0,282790.0,306018.0,280383.0,0.0,0.0,0.0,0.0,1001.0,-1001.0,1001.0,-679.0,0.0,sit~stand,11
180.515967,12.1108,-1.0765,-124.917,0.248652,0.883975,-0.114485,0.8469,6.8995,-111.8819,-1.01413,-0.103653,-0.100397,306462.0,282790.0,306018.0,280381.0,0.0,0.0,0.0,-2076.0,1004.0,-997.0,1001.0,-661.0,0.0,sit~stand,11
180.536087,12.1708,-1.0165,-126.297,0.264652,0.912475,-0.103985,1.0669,6.8795,-110.1419,-0.99563,-0.091653,-0.086897,306462.0,282790.0,306018.0,280380.0,0.0,0.0,0.0,-828.0,997.0,-1001.0,1008.0,-668.0,0.0,sit~stand,11
180.556222,11.7908,-1.1965,-127.237,0.276152,0.932475,-0.077985,0.9869,6.4995,-110.8619,-0.99663,-0.103153,-0.105897,306463.0,282790.0,306018.0,280378.0,1315.0,0.0,0.0,-2065.0,1001.0,-1001.0,1001.0,-629.0,0.0,sit~stand,11
180.576339,11.7108,-1.0165,-127.917,0.287652,0.935975,-0.078485,0.5269,6.7195,-110.1819,-1.02413,-0.091653,-0.094397,306462.0,282790.0,306018.0,280375.0,-1007.0,0.0,0.0,-2014.0,1001.0,-1004.0,1001.0,-590.0,0.0,sit~stand,11
180.596451,12.5108,-0.3765,-127.937,0.276152,0.933975,-0.074485,0.3469,6.6595,-108.1619,-0.98413,-0.077653,-0.097897,306463.0,282790.0,306018.0,280372.0,0.0,0.0,0.0,-2076.0,1004.0,-1004.0,1001.0,-583.0,0.0,sit~stand,11
180.616559,11.6308,-1.4165,-128.077,0.264652,0.936475,-0.088985,0.5269,7.2795,-107.8819,-0.96963,-0.088653,-0.093897,306463.0,282790.0,306018.0,280371.0,0.0,0.0,0.0,0.0,1001.0,-1001.0,997.0,-611.0,0.0,sit~stand,11
180.636667,11.9108,-1.4365,-126.477,0.262652,0.920475,-0.102985,0.8469,6.8395,-108.5619,-0.98913,-0.077153,-0.092397,306463.0,282790.0,306018.0,280371.0,0.0,0.0,0.0,0.0,1001.0,-1001.0,1001.0,-608.0,0.0,sit~stand,11
180.656879,11.4508,-2.0365,-126.177,0.251652,0.925975,-0.103985,0.8269,6.6995,-108.6819,-1.00613,-0.071653,-0.071397,306463.0,282790.0,306018.0,280371.0,0.0,0.0,0.0,0.0,1001.0,-1004.0,1004.0,-604.0,0.0,sit~stand,11
180.676995,12.1908,-1.9965,-126.377,0.256652,0.924475,-0.091985,0.8069,6.5395,-109.8419,-0.99813,-0.076653,-0.071397,306464.0,282790.0,306018.0,280371.0,454.0,0.0,0.0,0.0,1004.0,-1004.0,1001.0,-600.0,0.0,sit~stand,11
