time, CrutchReadings_1, CrutchReadings_2, CrutchReadings_3, CrutchReadings_4, CrutchReadings_5, CrutchReadings_6, CrutchReadings_7, CrutchReadings_8, CrutchReadings_9, CrutchReadings_10, CrutchReadings_11, CrutchReadings_12, MotorPositions_1, MotorPositions_2, MotorPositions_3, MotorPositions_4, MotorVelocities_1, MotorVelocities_2, MotorVelocities_3, MotorVelocities_4, MotorTorques_1, MotorTorques_2, MotorTorques_3, MotorTorques_4, GoButton, Intent, ExpID
67.433381,0.3033,-0.6361,-1.2259,-0.007705,0.00713,-0.012218,0.2903,-0.5645,-0.8658,-0.003348,-0.003355,0.004823,16351.0,4817.0,16354.0,4812.0,-363.0,0.0,0.0,-1721.0,18.0,-368.0,172.0,-239.0,0.0,stand~fwd,101
67.453594,0.1033,-0.2961,-0.4259,-0.015705,0.02263,-0.006718,0.0303,-0.3645,-0.6058,-0.001848,0.005645,-0.008177,16350.0,4815.0,16354.0,4811.0,-1615.0,-1113.0,0.0,-1545.0,50.0,-361.0,172.0,-179.0,0.0,stand~fwd,101
67.473707,1.9833,-5.6761,-32.4659,-0.000705,0.00163,-0.067718,0.6703,-0.4645,-0.9258,-0.007348,-0.002855,0.016323,16351.0,4813.0,16354.0,4811.0,450.0,-1014.0,0.0,0.0,25.0,-347.0,168.0,-225.0,0.0,stand~fwd,101
67.49382,1.0033,-0.3161,-29.9259,0.398795,0.04863,-0.042718,0.2503,-0.2445,-0.9058,-0.018848,0.013145,-0.010177,16350.0,4810.0,16354.0,4811.0,-1439.0,-1871.0,0.0,0.0,39.0,-322.0,164.0,-229.0,0.0,stand~fwd,101
67.513931,2.2033,-1.0761,-20.2459,0.117295,-0.08637,-0.012718,-0.2897,-0.7045,-1.0258,-0.022348,-0.003355,-0.022177,16351.0,4806.0,16354.0,4811.0,0.0,-2080.0,0.0,0.0,21.0,-286.0,164.0,-222.0,0.0,stand~fwd,101
67.534054,1.6633,-1.9761,-27.8059,0.192295,0.01963,-0.049218,-0.4097,-0.2645,-6.1658,-0.001848,-0.013355,0.008323,16353.0,4800.0,16354.0,4810.0,1985.0,-3446.0,0.0,-1545.0,-4.0,-197.0,161.0,-157.0,0.0,stand~fwd,101
67.554175,1.2833,-1.6961,-33.9659,0.280295,0.08563,-0.062218,-2.6897,-4.5445,-68.4058,-0.019348,-0.487855,-0.045177,16354.0,4794.0,16354.0,4810.0,905.0,-2776.0,0.0,0.0,0.0,-204.0,157.0,-211.0,0.0,stand~fwd,101
67.574287,1.7233,-2.2761,-48.2659,0.393295,0.10713,-0.083218,-2.5697,-1.8645,-60.4058,0.222152,-0.341855,-0.013677,16355.0,4790.0,16353.0,4809.0,0.0,-875.0,-1494.0,0.0,-11.0,-175.0,157.0,-200.0,0.0,stand~fwd,101
67.594399,1.4833,-2.8961,-74.6059,0.606295,0.21613,-0.115218,-0.3697,-2.1645,-55.7858,0.108152,-0.510855,-0.005177,16356.0,4787.0,16352.0,4807.0,439.0,-1329.0,-1501.0,-1113.0,-21.0,-143.0,164.0,-189.0,0.0,stand~fwd,101
67.614508,1.4833,-4.4761,-100.3459,0.789795,0.26863,-0.135718,-2.9097,-2.5845,-66.5658,0.148152,-0.398355,-0.016177,16356.0,4785.0,16352.0,4804.0,0.0,-476.0,0.0,-2106.0,-25.0,-111.0,168.0,-147.0,0.0,stand~fwd,101
67.634618,2.3233,-4.2961,-111.1459,0.865295,0.25763,-0.120718,-1.0297,-3.0645,-82.5658,0.114652,-0.706355,0.033323,16356.0,4785.0,16351.0,4802.0,1692.0,0.0,0.0,-1978.0,-64.0,-96.0,172.0,-93.0,0.0,stand~fwd,101
67.654731,3.4433,-4.9561,-122.1659,0.908295,0.27263,-0.162218,-1.4097,-2.0645,-95.1458,0.268652,-0.745355,0.015323,16354.0,4786.0,16350.0,4800.0,0.0,223.0,0.0,-2120.0,-18.0,-86.0,179.0,-122.0,0.0,stand~fwd,101
67.674969,3.6633,-5.7561,-142.2059,1.035795,0.32463,-0.219218,-1.5897,-1.8445,-109.7458,0.313652,-0.840355,0.037823,16353.0,4787.0,16350.0,4797.0,-326.0,0.0,0.0,-194.0,-18.0,-79.0,179.0,-86.0,0.0,stand~fwd,101
67.695089,4.8033,-6.4761,-154.4259,1.079295,0.36263,-0.296718,-2.2697,-2.2645,-123.2458,0.277152,-0.943355,0.045323,16351.0,4788.0,16350.0,4796.0,-1820.0,0.0,0.0,0.0,-4.0,-64.0,175.0,-82.0,0.0,stand~fwd,101
67.715203,5.9633,-6.8761,-162.6659,1.081295,0.38713,-0.327218,-1.8897,-2.8045,-128.8458,0.314652,-1.008855,0.054823,16350.0,4788.0,16349.0,4795.0,546.0,-1985.0,-908.0,0.0,11.0,-32.0,182.0,-61.0,0.0,stand~fwd,101
67.735312,6.2233,-7.5361,-174.4659,1.111295,0.42013,-0.356218,-2.2097,-1.9645,-129.9258,0.329152,-0.997855,0.062823,16349.0,4790.0,16348.0,4795.0,-740.0,1827.0,-1571.0,0.0,-39.0,-104.0,186.0,-54.0,0.0,stand~fwd,101
67.755521,6.9233,-7.7961,-184.0259,1.182795,0.43963,-0.375718,-1.6697,-1.8245,-136.6058,0.311152,-1.043855,0.035323,16348.0,4791.0,16347.0,4796.0,-2157.0,1263.0,0.0,2139.0,29.0,-36.0,197.0,-64.0,0.0,stand~fwd,101
67.775626,7.7033,-7.4161,-190.2859,1.190795,0.43013,-0.369218,-1.8497,-2.4445,-141.9258,0.351652,-1.073855,-0.003177,16346.0,4793.0,16346.0,4797.0,-626.0,1545.0,-1637.0,2139.0,36.0,-93.0,257.0,-57.0,0.0,stand~fwd,101
67.795739,7.5233,-7.6961,-194.5059,1.213295,0.46263,-0.372218,-1.7297,-2.0045,-147.0058,0.390652,-1.071355,-0.016677,16345.0,4795.0,16346.0,4798.0,-278.0,1827.0,0.0,828.0,25.0,-93.0,204.0,-39.0,0.0,stand~fwd,101
67.815857,7.6033,-7.4561,-190.4259,1.180295,0.45013,-0.346718,-2.5497,-3.0045,-145.9658,0.372152,-1.034855,-0.059677,16343.0,4797.0,16346.0,4798.0,0.0,1827.0,0.0,0.0,79.0,-93.0,207.0,-29.0,0.0,stand~fwd,101
67.835993,7.6233,-7.0161,-187.9859,1.188295,0.46013,-0.328218,-2.1497,-3.4245,-146.2458,0.352652,-1.024855,-0.036677,16342.0,4798.0,16345.0,4797.0,-476.0,0.0,-2062.0,-1721.0,57.0,-32.0,239.0,-14.0,0.0,stand~fwd,101
67.856112,7.8433,-6.3961,-190.3059,1.206295,0.44663,-0.315218,-1.9897,-3.2445,-152.0658,0.362152,-1.040855,-0.044677,16342.0,4799.0,16346.0,4797.0,377.0,0.0,2051.0,0.0,104.0,-29.0,193.0,0.0,0.0,stand~fwd,101
67.876259,8.9033,-6.1161,-195.1259,1.254295,0.47313,-0.318218,-2.4897,-3.1645,-154.4658,0.373652,-1.061355,-0.035178,16343.0,4800.0,16346.0,4796.0,758.0,0.0,-1410.0,-1461.0,50.0,-25.0,225.0,14.0,0.0,stand~fwd,101
67.896365,9.4833,-5.6561,-195.9859,1.227795,0.44363,-0.302218,-2.1697,-2.8645,-152.9258,0.403152,-1.055355,-0.038677,16345.0,4801.0,16347.0,4796.0,3684.0,1263.0,0.0,0.0,-39.0,-18.0,211.0,25.0,0.0,stand~fwd,101
67.916474,10.7233,-5.9361,-196.7859,1.229295,0.42463,-0.314218,-1.8097,-2.3645,-152.3058,0.393652,-1.068855,-0.067177,16345.0,4801.0,16347.0,4796.0,1351.0,0.0,0.0,0.0,32.0,-14.0,214.0,39.0,0.0,stand~fwd,101
67.936585,11.3833,-4.8161,-196.6459,1.224295,0.39913,-0.321718,-1.3897,-2.0645,-151.9458,0.427652,-1.086855,-0.051677,16346.0,4802.0,16347.0,4797.0,1062.0,106.0,0.0,1417.0,21.0,-11.0,218.0,43.0,0.0,stand~fwd,101
67.956702,11.5033,-4.7161,-195.8059,1.212795,0.41963,-0.332218,-1.1097,-1.5445,-148.4458,0.437652,-1.087355,-0.038177,16347.0,4802.0,16347.0,4797.0,1099.0,0.0,0.0,0.0,25.0,-4.0,218.0,50.0,0.0,stand~fwd,101
67.976829,11.0233,-4.7761,-189.6859,1.194795,0.41713,-0.328718,-0.9297,-1.5845,-144.8458,0.445152,-1.070355,-0.020677,16347.0,4803.0,16347.0,4799.0,29.0,0.0,0.0,2812.0,46.0,-4.0,218.0,39.0,0.0,stand~fwd,101
67.996933,11.4233,-4.0361,-186.4459,1.204295,0.38613,-0.253718,-0.9297,-1.2445,-142.9258,0.421152,-1.070855,-0.020177,16347.0,4804.0,16347.0,4799.0,-245.0,0.0,0.0,0.0,21.0,0.0,222.0,61.0,0.0,stand~fwd,101
68.017062,10.5433,-3.5961,-184.7459,1.225295,0.38163,-0.221718,-0.7697,-1.2045,-138.8258,0.397152,-1.032355,0.004823,16347.0,4805.0,16347.0,4799.0,-33.0,223.0,0.0,531.0,18.0,-4.0,225.0,71.0,0.0,stand~fwd,101
68.03721,10.1033,-4.0161,-180.2859,1.203295,0.37913,-0.178218,-0.9097,-1.1845,-132.8458,0.368652,-1.019855,0.048823,16347.0,4806.0,16347.0,4800.0,894.0,582.0,0.0,0.0,36.0,-4.0,225.0,75.0,0.0,stand~fwd,101
68.057325,9.4633,-4.3561,-175.2259,1.171795,0.39613,-0.199718,-1.6697,-0.7845,-128.3258,0.355152,-0.981355,0.049323,16346.0,4807.0,16348.0,4800.0,-330.0,967.0,652.0,-1534.0,89.0,-4.0,218.0,125.0,0.0,stand~fwd,101
68.077436,9.3233,-4.3761,-173.2859,1.159795,0.38613,-0.192718,-2.0497,-1.2845,-124.1258,0.330152,-0.939855,0.054823,16347.0,4808.0,16348.0,4801.0,37.0,2076.0,0.0,0.0,4.0,-14.0,218.0,86.0,0.0,stand~fwd,101
68.097624,8.9033,-4.7561,-175.6459,1.168295,0.40163,-0.229218,-1.7297,-0.7645,-118.5458,0.342152,-0.908855,0.053323,16348.0,4808.0,16348.0,4802.0,1124.0,-1721.0,-1879.0,1783.0,32.0,18.0,222.0,36.0,0.0,stand~fwd,101
68.117836,8.8833,-5.3761,-174.4059,1.153295,0.39413,-0.220218,-1.5497,-0.5245,-114.2458,0.340652,-0.869355,0.055323,16349.0,4809.0,16349.0,4802.0,436.0,502.0,0.0,161.0,25.0,-50.0,218.0,93.0,0.0,stand~fwd,101
68.138118,8.3233,-4.8761,-172.2259,1.141295,0.38963,-0.212218,-2.0497,-0.7645,-111.2258,0.319152,-0.842855,0.028823,16349.0,4809.0,16349.0,4803.0,282.0,0.0,0.0,1571.0,25.0,0.0,218.0,96.0,0.0,stand~fwd,101
68.158229,7.9633,-4.6361,-171.7259,1.163795,0.40163,-0.185718,-2.4697,-1.1445,-108.5458,0.314652,-0.829355,0.030823,16350.0,4809.0,16349.0,4803.0,634.0,0.0,0.0,0.0,18.0,7.0,218.0,104.0,0.0,stand~fwd,101
68.178361,7.3233,-5.4961,-171.9259,1.157295,0.40563,-0.177218,-1.8497,-1.0845,-106.8058,0.308152,-0.816855,0.034323,16351.0,4809.0,16349.0,4803.0,1018.0,0.0,0.0,-963.0,-32.0,14.0,218.0,161.0,0.0,stand~fwd,101
68.19845,7.3233,-5.2561,-174.6259,1.173295,0.39763,-0.173218,-1.8297,-0.3445,-103.6058,0.307152,-0.811855,0.046323,16351.0,4809.0,16349.0,4804.0,-1110.0,0.0,-2065.0,0.0,39.0,14.0,225.0,107.0,0.0,stand~fwd,101
68.21856,7.9033,-4.7161,-176.6659,1.203795,0.37513,-0.170718,-1.3097,-1.0445,-102.2258,0.307152,-0.808355,0.057823,16352.0,4809.0,16350.0,4805.0,516.0,0.0,0.0,967.0,-25.0,18.0,211.0,114.0,0.0,stand~fwd,101
68.238674,8.2033,-5.7561,-180.1859,1.211795,0.39813,-0.198218,-1.7097,-0.6045,-101.2258,0.318152,-0.813355,0.040823,16353.0,4810.0,16351.0,4805.0,1165.0,1860.0,1150.0,0.0,-11.0,21.0,157.0,118.0,0.0,stand~fwd,101
68.25888,8.2233,-5.2961,-182.9059,1.221295,0.39263,-0.198218,-1.4297,-0.5845,-100.2658,0.320652,-0.809355,0.052323,16353.0,4810.0,16351.0,4805.0,157.0,0.0,0.0,-1608.0,-61.0,18.0,207.0,150.0,0.0,stand~fwd,101
68.278982,8.9233,-5.2561,-185.0659,1.240795,0.39113,-0.207218,-1.5497,-0.1845,-98.4258,0.336652,-0.795355,0.038823,16352.0,4811.0,16352.0,4806.0,-1827.0,912.0,0.0,0.0,50.0,18.0,200.0,122.0,0.0,stand~fwd,101
68.299123,8.0833,-4.7961,-188.0859,1.255295,0.38463,-0.186718,-0.9097,-0.4645,-97.8458,0.315152,-0.794355,0.050323,16352.0,4812.0,16352.0,4806.0,0.0,0.0,-1860.0,0.0,-11.0,14.0,247.0,129.0,0.0,stand~fwd,101
68.319248,8.7433,-4.0961,-191.2259,1.292295,0.40163,-0.165718,-1.1497,-0.1845,-97.9058,0.341152,-0.800355,0.052323,16352.0,4813.0,16353.0,4807.0,0.0,0.0,0.0,1776.0,-11.0,11.0,189.0,125.0,0.0,stand~fwd,101
68.339494,9.0233,-4.5561,-199.4259,1.336295,0.39613,-0.160218,-1.3097,-0.1645,-95.0458,0.323152,-0.782855,0.071823,16351.0,4814.0,16353.0,4808.0,-77.0,0.0,0.0,165.0,32.0,7.0,189.0,125.0,0.0,stand~fwd,101
68.359579,9.1833,-4.8761,-211.4259,1.408795,0.36963,-0.174218,-1.1297,0.3555,-91.4458,0.324152,-0.765355,0.060323,16350.0,4816.0,16353.0,4808.0,-352.0,44.0,0.0,0.0,32.0,-4.0,186.0,129.0,0.0,stand~fwd,101
68.379713,9.7233,-5.0961,-224.5259,1.463795,0.36263,-0.189718,-1.5697,-0.0245,-86.9658,0.293152,-0.720355,0.062323,16350.0,4818.0,16352.0,4809.0,-1238.0,1417.0,-2014.0,0.0,0.0,-18.0,236.0,129.0,0.0,stand~fwd,101
68.399837,10.4033,-5.2561,-234.9859,1.517795,0.38013,-0.214218,-1.1497,0.0355,-82.6658,0.295652,-0.664855,0.074323,16350.0,4821.0,16352.0,4810.0,-326.0,963.0,-73.0,0.0,-7.0,-71.0,189.0,129.0,0.0,stand~fwd,101
68.419949,10.5233,-5.4761,-247.4059,1.570295,0.37363,-0.231718,-1.7897,-0.2445,-81.0058,0.288652,-0.654355,0.078323,16350.0,4824.0,16352.0,4811.0,179.0,1674.0,0.0,1150.0,-32.0,-57.0,189.0,75.0,0.0,stand~fwd,101
