time, CrutchReadings_1, CrutchReadings_2, CrutchReadings_3, CrutchReadings_4, CrutchReadings_5, CrutchReadings_6, CrutchReadings_7, CrutchReadings_8, CrutchReadings_9, CrutchReadings_10, CrutchReadings_11, CrutchReadings_12, MotorPositions_1, MotorPositions_2, MotorPositions_3, MotorPositions_4, MotorVelocities_1, MotorVelocities_2, MotorVelocities_3, MotorVelocities_4, MotorTorques_1, MotorTorques_2, CurrentState,Intent,ExpID
67.433381,0.3033,-0.6361,-1.2259,-0.007705,0.00713,-0.012218,0.2903,-0.5645,-0.8658,-0.003348,-0.003355,0.004823,16351,4817,16354,4812,-363,0,0,-1721,18,-368,4,stand~walk,101
67.453594,0.1033,-0.2961,-0.4259,-0.015705,0.02263,-0.006718,0.0303,-0.3645,-0.6058,-0.001848,0.005645,-0.008177,16350,4815,16354,4811,-1615,-1113,0,-1545,50,-361,4,stand~walk,101
67.473707,1.9833,-5.6761,-32.4659,-0.000705,0.00163,-0.067718,0.6703,-0.4645,-0.9258,-0.007348,-0.002855,0.016323,16351,4813,16354,4811,450,-1014,0,0,25,-347,4,stand~walk,101
67.49382,1.0033,-0.3161,-29.9259,0.398795,0.04863,-0.042718,0.2503,-0.2445,-0.9058,-0.018848,0.013145,-0.010177,16350,4810,16354,4811,-1439,-1871,0,0,39,-322,4,stand~walk,101
67.513931,2.2033,-1.0761,-20.2459,0.117295,-0.08637,-0.012718,-0.2897,-0.7045,-1.0258,-0.022348,-0.003355,-0.022177,16351,4806,16354,4811,0,-2080,0,0,21,-286,4,stand~walk,101
67.534054,1.6633,-1.9761,-27.8059,0.192295,0.01963,-0.049218,-0.4097,-0.2645,-6.1658,-0.001848,-0.013355,0.008323,16353,4800,16354,4810,1985,-3446,0,-1545,-4,-197,4,stand~walk,101
67.554175,1.2833,-1.6961,-33.9659,0.280295,0.08563,-0.062218,-2.6897,-4.5445,-68.4058,-0.019348,-0.487855,-0.045177,16354,4794,16354,4810,905,-2776,0,0,0,-204,4,stand~walk,101
67.574287,1.7233,-2.2761,-48.2659,0.393295,0.10713,-0.083218,-2.5697,-1.8645,-60.4058,0.222152,-0.341855,-0.013677,16355,4790,16353,4809,0,-875,-1494,0,-11,-175,4,stand~walk,101
67.594399,1.4833,-2.8961,-74.6059,0.606295,0.21613,-0.115218,-0.3697,-2.1645,-55.7858,0.108152,-0.510855,-0.005177,16356,4787,16352,4807,439,-1329,-1501,-1113,-21,-143,4,stand~walk,101
67.614508,1.4833,-4.4761,-100.3459,0.789795,0.26863,-0.135718,-2.9097,-2.5845,-66.5658,0.148152,-0.398355,-0.016177,16356,4785,16352,4804,0,-476,0,-2106,-25,-111,4,stand~walk,101
67.634618,2.3233,-4.2961,-111.1459,0.865295,0.25763,-0.120718,-1.0297,-3.0645,-82.5658,0.114652,-0.706355,0.033323,16356,4785,16351,4802,1692,0,0,-1978,-64,-96,4,stand~walk,101
67.654731,3.4433,-4.9561,-122.1659,0.908295,0.27263,-0.162218,-1.4097,-2.0645,-95.1458,0.268652,-0.745355,0.015323,16354,4786,16350,4800,0,223,0,-2120,-18,-86,4,stand~walk,101
67.674969,3.6633,-5.7561,-142.2059,1.035795,0.32463,-0.219218,-1.5897,-1.8445,-109.7458,0.313652,-0.840355,0.037823,16353,4787,16350,4797,-326,0,0,-194,-18,-79,4,stand~walk,101
67.695089,4.8033,-6.4761,-154.4259,1.079295,0.36263,-0.296718,-2.2697,-2.2645,-123.2458,0.277152,-0.943355,0.045323,16351,4788,16350,4796,-1820,0,0,0,-4,-64,4,stand~walk,101
67.715203,5.9633,-6.8761,-162.6659,1.081295,0.38713,-0.327218,-1.8897,-2.8045,-128.8458,0.314652,-1.008855,0.054823,16350,4788,16349,4795,546,-1985,-908,0,11,-32,4,stand~walk,101
67.735312,6.2233,-7.5361,-174.4659,1.111295,0.42013,-0.356218,-2.2097,-1.9645,-129.9258,0.329152,-0.997855,0.062823,16349,4790,16348,4795,-740,1827,-1571,0,-39,-104,4,stand~walk,101
