time, CrutchReadings_1, CrutchReadings_2, CrutchReadings_3, CrutchReadings_4, CrutchReadings_5, CrutchReadings_6, CrutchReadings_7, CrutchReadings_8, CrutchReadings_9, CrutchReadings_10, CrutchReadings_11, CrutchReadings_12, MotorPositions_1, MotorPositions_2, MotorPositions_3, MotorPositions_4, MotorVelocities_1, MotorVelocities_2, MotorVelocities_3, MotorVelocities_4, MotorTorques_1, MotorTorques_2, CurrentState,Intent,ExpID
59.19661,0.2633,0.0839,-1.7459,0.004295,-0.00187,0.010782,0.7303,0.3955,-1.0858,0.020152,-0.026355,-0.012177,59380.0,34348.0,-10867.0,14806.0,0.0,0.0,-1263.0,1545.0,400.0,-1018.0,2.0,walk~stand,100
59.216723,-0.0967,-0.4361,-1.6259,0.006295,0.00313,0.010782,1.4503,0.0955,-0.8458,-0.001348,-0.029355,-0.002677,59380.0,34348.0,-10868.0,14807.0,-44.0,0.0,-1545.0,0.0,404.0,-1022.0,2.0,walk~stand,100
59.236836,-0.4367,-0.3561,-2.1259,-0.010705,0.01763,-0.012218,0.9703,0.3155,-1.2458,-0.009848,-0.033855,-0.012177,59380.0,34348.0,-10869.0,14809.0,-289.0,0.0,-2856.0,1263.0,436.0,-1022.0,2.0,walk~stand,100
59.256969,-0.1167,-0.5161,-1.6059,-0.002205,0.02213,0.003782,0.8103,0.0955,-0.9658,-0.003848,-0.012355,0.001323,59380.0,34348.0,-10869.0,14810.0,0.0,0.0,-469.0,0.0,397.0,-1022.0,2.0,walk~stand,100
59.277213,0.1233,-0.2761,-1.4259,-0.001705,0.01413,-0.010718,0.9903,-0.4445,-1.3858,-0.013848,-0.002355,0.014323,59380.0,34348.0,-10868.0,14810.0,0.0,0.0,2010.0,0.0,404.0,-1022.0,2.0,walk~stand,100
59.297315,0.0833,0.0639,-1.5259,0.007295,0.01463,-0.006718,-0.0097,-0.1845,-1.0258,-0.006348,-0.006355,0.008823,59381.0,34348.0,-10867.0,14809.0,234.0,0.0,1150.0,-106.0,436.0,-1022.0,2.0,walk~stand,100
59.317419,-0.2767,-0.1961,-0.8059,-0.003205,0.01163,0.001782,-0.0497,0.1955,-1.2258,-0.014848,-0.004855,0.012823,59381.0,34348.0,-10865.0,14806.0,1143.0,0.0,2179.0,-2300.0,375.0,-1022.0,2.0,walk~stand,100
59.337614,-0.0367,-0.0761,-0.0659,-0.020705,0.00163,-0.007218,0.1103,0.1155,-0.6458,-0.012348,0.004145,0.007323,59381.0,34348.0,-10863.0,14804.0,154.0,0.0,1879.0,-1937.0,454.0,-1022.0,2.0,walk~stand,100
59.357731,-0.0767,-0.5161,0.1141,0.001295,0.01013,-0.002718,0.2903,-0.3245,-0.5458,-0.010848,0.009145,-0.002677,59381.0,34346.0,-10862.0,14803.0,-948.0,-2120.0,161.0,-381.0,457.0,-972.0,2.0,walk~stand,100
59.37786,0.1233,0.1839,-0.2659,0.002295,0.00113,0.001282,-0.4897,-0.3045,-0.8858,-0.006848,0.019645,-0.004677,59383.0,34345.0,-10861.0,14801.0,297.0,-161.0,2076.0,-2589.0,386.0,-1004.0,2.0,walk~stand,100
59.397978,0.9033,-0.5961,-0.4259,-0.005705,0.00063,-0.002718,-0.8097,-0.2845,-1.3058,-0.006848,0.026645,-0.002677,59386.0,34341.0,-10861.0,14799.0,2091.0,-2999.0,0.0,-1630.0,336.0,-961.0,2.0,walk~stand,100
59.418096,-0.2567,-0.0761,-0.8459,0.001295,0.01763,0.001282,-0.6497,-0.1445,-1.3658,-0.008848,0.018145,-0.012177,59391.0,34334.0,-10861.0,14797.0,1399.0,-4318.0,0.0,-1150.0,322.0,-868.0,2.0,walk~stand,100
59.4382,0.2433,-0.4961,-0.6859,-0.004705,0.01613,-0.010218,-8.4297,-2.7045,-76.0658,-0.593348,-0.214355,0.054323,59395.0,34325.0,-10861.0,14796.0,2267.0,-3545.0,0.0,0.0,289.0,-851.0,2.0,walk~stand,100
59.458323,-0.1967,-0.2961,-1.1459,0.000295,0.01663,0.002782,-6.1897,-7.6645,-102.8858,-0.500848,-0.693855,0.046323,59399.0,34318.0,-10861.0,14795.0,2120.0,-2904.0,0.0,0.0,268.0,-790.0,2.0,walk~stand,100
59.478455,-0.8567,-0.4961,-1.5059,-0.002705,0.02463,0.003782,-4.0497,1.0155,-91.3858,0.090652,-0.821355,-0.036177,59401.0,34313.0,-10862.0,14795.0,165.0,-1465.0,-1150.0,0.0,247.0,-765.0,2.0,walk~stand,100
59.498584,-0.8567,-0.4561,-1.6859,0.005295,0.01613,0.000282,-5.1497,-0.7845,-98.3858,-0.090348,-0.697855,0.012323,59401.0,34310.0,-10862.0,14796.0,-428.0,-286.0,-406.0,0.0,182.0,-729.0,2.0,walk~stand,100
59.51872,1.5833,0.1239,-40.8059,0.542795,0.01663,0.043282,-2.3897,-1.0445,-127.5458,-0.123848,-1.191855,0.054823,59400.0,34308.0,-10862.0,14796.0,-846.0,-2139.0,0.0,0.0,232.0,-683.0,2.0,walk~stand,100
