time, CrutchReadings_1, CrutchReadings_2, CrutchReadings_3, CrutchReadings_4, CrutchReadings_5, CrutchReadings_6, CrutchReadings_7, CrutchReadings_8, CrutchReadings_9, CrutchReadings_10, CrutchReadings_11, CrutchReadings_12, MotorPositions_1, MotorPositions_2, MotorPositions_3, MotorPositions_4, MotorVelocities_1, MotorVelocities_2, MotorVelocities_3, MotorVelocities_4, MotorTorques_1, MotorTorques_2, CurrentState,Intent,ExpID
79.869738,-0.1632,-0.0134,-1.0604,0.007633,0.007925,0.00773,0.4111,-0.1487,-1.0926,-0.020045,0.00221,-0.01255,16353.0,4817.0,16357.0,4807.0,-1036.0,0.0,0.0,-2069.0,96.0,-440.0,4.0,stand~walk,145
79.889848,0.2168,0.2266,-0.8204,0.026133,0.008925,0.01673,0.3111,-0.0087,-1.1126,-0.016545,-0.01079,-0.00505,16354.0,4817.0,16357.0,4804.0,183.0,0.0,0.0,-1644.0,36.0,-443.0,4.0,stand~walk,145
79.909943,0.5168,0.1666,-0.3004,-0.000367,0.011925,-0.01827,0.6311,-0.7287,-0.2126,-0.009545,-0.01179,0.00445,16354.0,4817.0,16357.0,4803.0,0.0,0.0,0.0,0.0,79.0,-447.0,4.0,stand~walk,145
79.930055,-0.0032,-0.2334,-0.7204,0.004133,0.017425,0.00223,0.2511,-0.3087,-0.5126,-0.012545,0.00171,-0.00905,16354.0,4817.0,16357.0,4802.0,0.0,0.0,0.0,0.0,75.0,-443.0,4.0,stand~walk,145
79.950163,0.1168,-0.3134,-0.6404,0.012633,0.001925,0.00723,0.1911,-0.6487,-0.3726,-0.010545,-0.00279,0.00645,16354.0,4817.0,16358.0,4800.0,0.0,0.0,1685.0,-3611.0,75.0,-443.0,4.0,stand~walk,145
79.970273,0.0168,-0.6334,-0.6604,-0.008867,0.002425,0.00073,0.4511,-0.3687,-0.7326,-0.007545,-0.00029,0.00045,16354.0,4816.0,16358.0,4800.0,1099.0,-1417.0,0.0,0.0,100.0,-443.0,4.0,stand~walk,145
79.990399,-0.4432,-0.8934,-0.2604,-0.024867,0.005425,-0.01127,0.5111,0.2913,-0.1926,-0.019045,0.00321,-0.00305,16356.0,4815.0,16358.0,4799.0,2157.0,-828.0,0.0,-179.0,36.0,-432.0,4.0,stand~walk,145
80.010522,-0.1432,-0.5134,0.1196,-0.025367,0.007425,0.00223,0.5311,-0.0687,-0.5726,-0.011045,-0.00529,0.00445,16358.0,4814.0,16358.0,4798.0,1615.0,-1571.0,0.0,-392.0,46.0,-432.0,4.0,stand~walk,145
80.030644,0.4768,-0.3334,-1.2204,-0.006867,0.004425,0.00173,0.3311,0.0313,-0.4126,-0.021045,0.00221,0.00645,16359.0,4813.0,16359.0,4798.0,0.0,-828.0,381.0,0.0,36.0,-422.0,4.0,stand~walk,145
80.050779,-0.0832,-0.6934,-1.0604,-0.016867,0.000425,0.00523,0.4711,-0.4687,-0.8326,-0.003045,-0.00629,-0.01505,16361.0,4812.0,16358.0,4798.0,165.0,-297.0,-1337.0,0.0,14.0,-407.0,4.0,stand~walk,145
