time, CrutchReadings_1, CrutchReadings_2, CrutchReadings_3, CrutchReadings_4, CrutchReadings_5, CrutchReadings_6, CrutchReadings_7, CrutchReadings_8, CrutchReadings_9, CrutchReadings_10, CrutchReadings_11, CrutchReadings_12, MotorPositions_1, MotorPositions_2, MotorPositions_3, MotorPositions_4, MotorVelocities_1, MotorVelocities_2, MotorVelocities_3, MotorVelocities_4, MotorTorques_1, MotorTorques_2, CurrentState,Intent,ExpID
182.927077,-0.4632,-0.1734,-1.0404,0.008633,0.015425,0.00373,0.4311,-0.7087,-0.5726,-0.019545,0.00671,0.01595,59369.0,34355.0,-10863.0,14801.0,-1538.0,0.0,0.0,0.0,318.0,-1004.0,2.0,walk~stand,158
182.947183,-0.3432,-0.5334,-0.7004,-0.021367,0.013425,-0.01027,0.3111,-0.0887,-0.6726,-0.018045,0.00321,-0.01255,59370.0,34354.0,-10863.0,14801.0,428.0,0.0,0.0,0.0,314.0,-1001.0,2.0,walk~stand,158
182.967303,-0.5232,-0.5334,-0.3804,-0.019367,0.030925,0.00073,-0.4089,-0.8287,-0.0326,-0.012545,0.02021,-0.01255,59371.0,34354.0,-10863.0,14802.0,1549.0,0.0,0.0,879.0,311.0,-1001.0,2.0,walk~stand,158
182.98752,-0.2032,-0.6534,-0.5204,-0.008867,0.024925,-0.01577,-0.3289,-0.3887,-0.7126,-0.010545,0.01771,-0.01455,59371.0,34354.0,-10863.0,14801.0,0.0,0.0,0.0,-912.0,314.0,-1001.0,2.0,walk~stand,158
183.007641,-0.7432,-0.5934,-0.5404,-0.004867,0.026925,-0.00027,-0.3689,-0.4487,-0.9126,-0.012545,0.01921,-0.01105,59372.0,34353.0,-10863.0,14800.0,0.0,-2120.0,0.0,-1150.0,311.0,-958.0,2.0,walk~stand,158
183.027749,-0.9432,-1.0134,-0.8204,-0.013867,0.029425,-0.00727,-2.7889,-0.0087,-25.4726,-0.289045,-0.03379,0.01795,59374.0,34352.0,-10863.0,14799.0,2142.0,-967.0,0.0,-967.0,264.0,-990.0,2.0,walk~stand,158
183.04785,-0.2832,-0.3134,-0.8404,-0.021367,0.019425,0.00273,-4.4089,-4.0287,-81.7326,-0.272545,-0.69229,0.04645,59376.0,34350.0,-10863.0,14798.0,1077.0,-2051.0,0.0,0.0,250.0,-940.0,2.0,walk~stand,158
183.067959,0.6768,-1.5134,-28.4604,0.232633,-0.049075,0.00173,-1.1489,-2.7087,-58.7126,-0.248045,-0.52729,0.03895,59378.0,34344.0,-10863.0,14798.0,1176.0,-4526.0,0.0,1772.0,275.0,-876.0,2.0,walk~stand,158
183.088073,-1.6632,-5.0134,-54.7804,0.256133,0.235425,-0.13577,-5.9889,0.0113,-72.8926,0.011455,-0.43829,-0.04655,59381.0,34337.0,-10862.0,14797.0,1150.0,-3853.0,1417.0,0.0,254.0,-829.0,2.0,walk~stand,158
183.108185,1.7968,-3.2534,-50.3404,0.374633,-0.001075,-0.10827,-4.2089,-0.9687,-83.3326,-0.081045,-0.65479,0.01445,59384.0,34329.0,-10862.0,14796.0,363.0,-4336.0,-1992.0,-59.0,225.0,-768.0,2.0,walk~stand,158
